,Peter Hall Building UniMelb,Proud Mary Coffee,Patricia Coffee Brewers,Seven Seeds Coffee Roasters,Industry Beans Fitzroy,Market Lane Coffee HQ,ST. ALi Coffee Roasters,Code Black Coffee Brunswick,Axil Coffee Roasters,Dukes Coffee Roasters,Rumble Coffee Roasters,Wide Open Road,Aunty Peg's,Brother Baba Budan,Lune Croissanterie Fitzroy,Small Batch Roasting Co.,Padre Coffee Brunswick East,Jasper Coffee Fitzroy,Everyday Coffee,MAKER Coffee South Yarra,Square Lane Coffee,Disciple Roasters,Coffee Supreme,Market Lane Prahran Market,Veneziano Coffee Richmond,Five Senses Coffee,Standing Room Fitzroy North,Bench Coffee Co. Roastery,Path Melbourne,Little Rogue,Vacation Coffee CBD,Market Lane Carlton,Traveller Coffee,Core Roasters,Project Zero
Peter Hall Building UniMelb,0.0000,2.4079,2.8529,1.5479,2.0397,3.9447,5.2778,3.0801,8.5815,2.9082,4.1096,2.8438,2.6441,2.2874,1.7749,2.0156,4.1282,1.5346,2.1398,7.3904,6.0871,2.8681,5.3604,8.5675,6.4221,3.2492,2.9710,4.5482,2.1068,2.3701,2.8323,0.9430,2.2267,2.7834,2.7306
Proud Mary Coffee,2.8874,0.0000,3.5972,3.3600,1.5155,4.2106,5.0590,5.1601,6.2279,2.9390,6.4538,5.1881,0.3560,3.0308,1.3524,3.7302,5.7219,1.1121,0.6852,5.3030,3.9997,5.2124,2.9481,6.4801,4.0099,4.6005,2.5995,6.9253,3.6472,2.7332,2.4858,2.3774,2.5899,4.1091,3.1411
Patricia Coffee Brewers,2.6384,3.5302,0.0000,1.7722,4.6792,6.1648,2.3859,4.7625,9.0451,1.7878,3.7156,4.5262,3.8895,0.8904,3.6201,1.3905,6.8482,3.1355,3.9963,5.2979,4.7380,4.5506,5.0098,6.0063,5.7525,1.8361,5.6105,6.2306,1.3629,0.9451,1.8022,2.3881,1.1068,5.5034,1.0601
Seven Seeds Coffee Roasters,1.0457,3.2430,1.7932,0.0000,3.3355,4.8212,4.0295,3.4189,7.9437,2.2703,2.9260,3.1826,3.6022,1.3762,2.8161,0.7565,5.5046,2.5759,3.1810,6.7526,5.4493,3.2069,4.7226,7.9298,5.7844,2.0009,4.2669,4.8869,0.8477,1.2860,2.1946,1.1760,1.5888,4.1597,1.8193
Industry Beans Fitzroy,2.1819,1.4714,3.6286,3.3737,0.0000,3.0265,5.3444,3.9760,8.0682,3.2244,5.2697,4.0040,1.7076,3.0622,0.3033,3.7439,4.5378,0.5982,1.0495,6.8772,5.5738,4.0283,4.8471,8.0543,5.9089,4.6142,1.4154,5.7412,3.6609,2.7646,2.7713,1.6719,2.6213,2.9250,3.4265
Market Lane Coffee HQ,3.2340,4.3723,5.6211,4.1749,2.9033,0.0000,7.8575,0.9743,10.5882,5.6966,5.5357,1.0609,4.6085,5.4046,3.2018,4.5845,1.5385,3.4991,3.9474,9.3494,8.0461,1.2102,7.3084,10.5265,8.3702,5.8289,1.9769,2.7419,4.6757,5.2369,5.2435,2.8873,5.0935,0.2863,5.8477
ST. ALi Coffee Roasters,4.8922,5.4581,2.3552,4.0259,6.9329,8.4186,0.0000,7.0163,8.3863,2.7224,5.8714,6.7800,6.5580,2.6719,5.3542,3.5737,9.1020,4.8751,7.0323,3.7635,4.4931,6.8043,7.7396,4.4720,7.0488,3.0662,7.8643,8.4844,3.5460,3.0173,3.6804,5.0293,3.1790,7.7572,2.1872
Code Black Coffee Brunswick,3.5898,5.1227,4.8130,3.3668,3.6537,1.6374,7.0493,0.0000,11.3386,5.6025,4.7276,0.3543,5.3589,4.5965,3.9522,3.7764,2.0906,4.2495,4.6977,10.0998,8.7965,0.4157,8.0587,11.2769,9.1205,5.0207,2.7273,1.7494,3.8676,4.5063,5.5268,3.6820,4.8129,1.0517,5.0396
Axil Coffee Roasters,8.2126,6.2759,7.2211,7.9729,8.9219,11.3311,8.5367,12.2806,0.0000,6.2178,10.5125,12.3086,6.1958,6.8948,9.0346,8.3431,11.7122,7.0276,6.3436,5.4457,4.8317,12.3329,3.7376,6.5565,2.2745,9.2134,9.7200,12.9156,8.2601,7.0927,5.6224,7.7131,6.9493,11.2296,6.6351
Dukes Coffee Roasters,2.4989,3.2819,1.0287,2.2068,3.9272,5.8323,2.1342,5.1967,6.7968,0.0000,4.6704,4.9604,3.6411,0.7036,3.3663,2.2303,7.2824,2.8872,3.7340,5.1571,4.0930,4.9847,4.7615,5.8655,5.1809,2.7909,4.8586,6.6647,2.3214,1.0297,1.2307,2.4720,1.1914,5.9375,0.2188
