,Peter Hall Building UniMelb,Proud Mary Coffee,Patricia Coffee Brewers,Seven Seeds Coffee Roasters,Industry Beans Fitzroy,Market Lane Coffee HQ,ST. ALi Coffee Roasters,Code Black Coffee Brunswick,Axil Coffee Roasters,Dukes Coffee Roasters,Rumble Coffee Roasters,Wide Open Road,Aunty Peg's,Brother Baba Budan,Lune Croissanterie Fitzroy,Small Batch Roasting Co.,Padre Coffee Brunswick East,Jasper Coffee Fitzroy,Everyday Coffee,MAKER Coffee South Yarra,Square Lane Coffee,Disciple Roasters,Coffee Supreme,Market Lane Prahran Market,Veneziano Coffee Richmond,Five Senses Coffee,Standing Room Fitzroy North,Bench Coffee Co. Roastery,Path Melbourne,Little Rogue,Vacation Coffee CBD,Market Lane Carlton,Traveller Coffee,Core Roasters,Project Zero
Peter Hall Building UniMelb,0.0,5.46,6.2083,3.2833,3.5867,6.2317,9.53,4.8817,12.8567,6.79,6.0617,4.4467,6.025,5.1367,4.11,4.4667,6.7533,3.425,4.7717,11.615,9.6633,4.385,9.3033,13.015,10.87,6.035,4.565,8.6183,4.53,5.1117,5.7833,2.2067,4.6867,5.0983,6.0017
Proud Mary Coffee,6.4733,0.0,7.8883,6.5783,3.97,7.615,10.5933,8.8333,9.795,7.0333,10.41,8.795,1.075,6.8417,3.4183,7.1683,9.3367,2.8417,1.885,8.79,6.8383,8.7333,6.1217,10.19,7.6883,8.3733,5.1517,12.1017,7.1617,5.9817,5.45,5.5167,5.5567,7.3533,6.985
Patricia Coffee Brewers,5.4,7.9917,0.0,3.6933,7.92,10.0567,4.8533,7.64,12.1733,5.0517,6.2317,7.205,8.6217,2.5883,8.275,3.39,10.48,7.3883,8.9667,8.885,8.6683,7.1433,9.6817,9.6917,10.42,3.695,8.8983,11.3767,3.245,2.6267,4.51,5.5367,2.7483,8.6933,2.9817
Seven Seeds Coffee Roasters,2.2783,6.3083,3.79,0.0,5.805,7.9417,7.0867,5.525,11.5517,5.44,5.4667,5.09,6.9383,3.1183,6.3883,1.9383,8.365,5.7033,7.05,10.31,8.3583,5.0283,7.9983,11.71,9.565,3.5917,6.7833,9.2617,2.0017,3.1233,4.4783,2.6517,3.3367,6.5783,3.9833
Industry Beans Fitzroy,4.7133,3.6283,7.025,5.7133,0.0,5.27,10.2567,6.4883,11.67,6.6967,8.065,6.45,4.1933,5.9783,0.9667,6.3033,6.9917,1.5933,2.9083,10.4283,8.4767,6.3883,8.1167,11.8283,9.6833,7.5083,2.685,9.7567,6.2967,5.1183,5.1133,3.7567,4.6933,5.0083,6.6483
Market Lane Coffee HQ,6.205,7.5167,8.785,6.1667,4.5583,0.0,12.0817,1.6483,14.635,9.8417,7.9333,1.8233,8.0817,8.5233,5.3583,7.055,2.2117,5.4817,6.5667,13.5733,11.6217,1.9783,11.1067,14.9733,12.6733,8.5867,3.5633,4.9767,7.1183,8.2633,8.2583,5.8533,7.8383,0.63,9.3883
ST. ALi Coffee Roasters,8.74,10.6217,4.585,7.0333,11.26,13.3967,0.0,10.98,10.55,5.465,8.4983,10.545,11.055,5.72,11.5833,6.7183,13.82,10.3183,11.0783,6.4317,7.4017,10.4833,10.3217,7.2383,9.155,5.51,12.2383,14.7167,6.5733,6.34,5.91,9.07,6.4617,12.0333,4.5567
Code Black Coffee Brunswick,6.0567,8.6817,7.7367,5.1183,5.7233,2.9667,11.0333,0.0,15.8,9.975,6.885,0.8833,9.2467,7.475,6.5233,6.0067,3.0133,6.6467,7.7317,14.7383,12.7867,0.9033,12.2717,16.1383,13.8383,7.5383,4.7283,4.295,6.07,7.48,9.0133,6.3433,7.76,1.6967,8.34
Axil Coffee Roasters,12.1067,9.9517,11.6867,11.7367,11.2467,14.4317,10.6383,15.65,0.0,10.0967,15.855,15.6117,9.75,11.08,11.4917,12.3267,16.1117,11.045,9.7167,7.7517,8.0933,15.55,5.3983,8.965,3.285,13.5317,11.9683,18.7483,12.32,10.8167,8.2383,11.5483,10.3917,14.17,10.4867
Dukes Coffee Roasters,5.685,7.5333,2.8833,4.835,8.7233,11.2717,5.19,8.93,11.1433,0.0,8.37,8.495,8.1633,2.2633,8.195,5.11,11.77,6.93,8.605,9.4267,7.7067,8.4333,9.2233,10.2333,9.195,5.8333,9.7017,12.6667,5.1733,2.955,3.285,5.86,3.0767,9.9833,0.9717
