cafe_id,total_daily_weight_kg,total_daily_revenue,cafe_name,size
cafe_01,20.48,123.9,Proud Mary Coffee,small
cafe_02,88.15,462.7,Patricia Coffee Brewers,large
cafe_03,30.7,197.9,Seven Seeds Coffee Roasters,medium
cafe_04,39.95,236.6,Industry Beans Fitzroy,medium
cafe_05,23.560000000000002,129.0,Market Lane Coffee HQ,small
cafe_06,27.67,144.9,ST. ALi Coffee Roasters,small
cafe_07,22.54,127.1,Code Black Coffee Brunswick,small
cafe_08,83.14,352.2,Axil Coffee Roasters,large
cafe_09,37.91,187.2,Dukes Coffee Roasters,medium
cafe_10,36.88,202.3,Rumble Coffee Roasters,medium
cafe_11,24.63,109.9,Wide Open Road,small
cafe_12,62.480000000000004,354.9,Aunty Peg's,large
cafe_13,60.46,332.0,Brother Baba Budan,large
cafe_14,25.65,118.4,Lune Croissanterie Fitzroy,small
cafe_15,24.65,90.4,Small Batch Roasting Co.,small
cafe_16,18.46,97.4,Padre Coffee Brunswick East,small
cafe_17,16.42,65.9,Jasper Coffee Fitzroy,small
cafe_18,42.05,200.6,Everyday Coffee,medium
cafe_19,33.85,171.9,MAKER Coffee South Yarra,medium
cafe_20,24.59,135.8,Square Lane Coffee,small
cafe_21,34.88,165.7,Disciple Roasters,medium
cafe_22,19.48,92.3,Coffee Supreme,small
cafe_23,22.56,106.39999999999999,Market Lane Prahran Market,small
cafe_24,24.58,131.1,Veneziano Coffee Richmond,small
cafe_25,37.93,187.79999999999998,Five Senses Coffee,medium
cafe_26,32.81,160.8,Standing Room Fitzroy North,medium
cafe_27,21.52,123.6,Bench Coffee Co. Roastery,small
cafe_28,42.08,189.4,Path Melbourne,medium
cafe_29,33.8,189.9,Little Rogue,medium
cafe_30,23.61,90.7,Vacation Coffee CBD,small
cafe_31,37.92,201.1,Market Lane Carlton,medium
cafe_32,24.6,133.7,Traveller Coffee,small
cafe_33,25.64,121.5,Core Roasters,small
cafe_34,82.10000000000001,357.8,Project Zero,large
