cafe_id,cafe_name,latitude,longitude,size
cafe_01,Proud Mary Coffee,-37.8023383,144.9851717,small
cafe_02,Patricia Coffee Brewers,-37.8146934,144.9582383,large
cafe_03,Seven Seeds Coffee Roasters,-37.8029711,144.9590027,medium
cafe_04,Industry Beans Fitzroy,-37.7948113,144.9781341,medium
cafe_05,Market Lane Coffee HQ,-37.776348,144.972123,small
cafe_06,ST. ALi Coffee Roasters,-37.8312475,144.960354,small
cafe_07,Code Black Coffee Brunswick,-37.774643,144.962468,small
cafe_08,Axil Coffee Roasters,-37.8226075,145.0342781,large
cafe_09,Dukes Coffee Roasters,-37.816791,144.966162,medium
cafe_10,Rumble Coffee Roasters,-37.7947678,144.9342535,medium
cafe_11,Wide Open Road,-37.7763047,144.9612147,small
cafe_12,Aunty Peg's,-37.8028093,144.9870052,large
cafe_13,Brother Baba Budan,-37.813541,144.9620988,large
cafe_14,Lune Croissanterie Fitzroy,-37.7959659,144.9799313,small
cafe_15,Small Batch Roasting Co.,-37.8043369,144.9545001,small
cafe_16,Padre Coffee Brunswick East,-37.7641144,144.9732824,small
cafe_17,Jasper Coffee Fitzroy,-37.799384,144.9781281,small
cafe_18,Everyday Coffee,-37.7981641,144.9858767,medium
cafe_19,MAKER Coffee South Yarra,-37.8394531,144.9963319,medium
cafe_20,Square Lane Coffee,-37.8269479,144.9929394,small
cafe_21,Disciple Roasters,-37.775525,144.9601403,medium
cafe_22,Coffee Supreme,-37.8091416,145.006767,small
cafe_23,Market Lane Prahran Market,-37.845757,144.993288,small
cafe_24,Veneziano Coffee Richmond,-37.8169555,145.0131324,small
cafe_25,Five Senses Coffee,-37.8108846,144.9455841,medium
cafe_26,Standing Room Fitzroy North,-37.7847929,144.9823376,medium
cafe_27,Bench Coffee Co. Roastery,-37.761889,144.961811,small
cafe_28,Path Melbourne,-37.8054501,144.9542036,medium
cafe_29,Little Rogue,-37.810993,144.964066,medium
cafe_30,Vacation Coffee CBD,-37.8158579,144.9720281,small
cafe_31,Market Lane Carlton,-37.8014,144.9672,medium
cafe_32,Traveller Coffee,-37.8109,144.9668,small
cafe_33,Core Roasters,-37.7775,144.9722,small
cafe_34,Project Zero,-37.8175,144.964,large
