cafe_id,milk_full,milk_oat,milk_soy,milk_almond,bean_house,bean_single,bean_decaf
cafe_01,11,3,1,2,1,1,1
cafe_02,51,12,7,6,5,3,2
cafe_03,14,6,3,2,2,2,1
cafe_04,23,6,3,1,3,2,1
cafe_05,13,3,2,2,2,1,0
cafe_06,16,3,3,2,1,1,1
cafe_07,14,2,2,1,1,1,1
cafe_08,48,14,8,6,3,1,1
cafe_09,22,3,5,3,3,1,0
cafe_10,21,5,4,1,3,1,1
cafe_11,16,3,1,2,1,0,1
cafe_12,35,7,4,7,3,3,2
cafe_13,31,11,6,4,3,3,1
cafe_14,16,3,3,1,1,1,0
cafe_15,16,3,3,1,1,0,0
cafe_16,11,3,1,1,1,1,0
cafe_17,10,2,2,1,1,0,0
cafe_18,24,7,5,1,3,1,0
cafe_19,19,6,3,2,1,2,0
cafe_20,14,3,2,2,1,1,1
cafe_21,20,6,2,3,2,1,0
cafe_22,10,4,2,1,2,0,0
cafe_23,12,4,2,2,1,0,1
cafe_24,14,2,3,2,2,1,0
cafe_25,24,3,5,1,2,1,1
cafe_26,17,6,3,3,2,1,0
cafe_27,14,2,1,1,1,1,1
cafe_28,25,7,5,1,1,1,1
cafe_29,15,7,5,2,2,2,0
cafe_30,13,4,3,2,1,0,0
cafe_31,19,7,5,2,2,2,0
cafe_32,16,2,1,2,1,1,1
cafe_33,14,4,3,2,1,1,0
cafe_34,54,8,7,5,3,1,2
