name,latitude,longitude,is_depot
Peter Hall Building UniMelb,-37.7982158,144.9636857,yes
Proud Mary Coffee,-37.8023383,144.9851717,no
Patricia Coffee Brewers,-37.8146934,144.9582383,no
Seven Seeds Coffee Roasters,-37.8029711,144.9590027,no
Industry Beans Fitzroy,-37.7948113,144.9781341,no
Market Lane Coffee HQ,-37.776348,144.972123,no
ST. ALi Coffee Roasters,-37.8312475,144.960354,no
Code Black Coffee Brunswick,-37.774643,144.962468,no
Axil Coffee Roasters,-37.8226075,145.0342781,no
Dukes Coffee Roasters,-37.816791,144.966162,no
Rumble Coffee Roasters,-37.7947678,144.9342535,no
Wide Open Road,-37.7763047,144.9612147,no
Aunty Peg's,-37.8028093,144.9870052,no
Brother Baba Budan,-37.813541,144.9620988,no
Lune Croissanterie Fitzroy,-37.7959659,144.9799313,no
Small Batch Roasting Co.,-37.8043369,144.9545001,no
Padre Coffee Brunswick East,-37.7641144,144.9732824,no
Jasper Coffee Fitzroy,-37.799384,144.9781281,no
Everyday Coffee,-37.7981641,144.9858767,no
MAKER Coffee South Yarra,-37.8394531,144.9963319,no
Square Lane Coffee,-37.8269479,144.9929394,no
Disciple Roasters,-37.775525,144.9601403,no
Coffee Supreme,-37.8091416,145.006767,no
Market Lane Prahran Market,-37.845757,144.993288,no
Veneziano Coffee Richmond,-37.8169555,145.0131324,no
Five Senses Coffee,-37.8108846,144.9455841,no
Standing Room Fitzroy North,-37.7847929,144.9823376,no
Bench Coffee Co. Roastery,-37.761889,144.961811,no
Path Melbourne,-37.8054501,144.9542036,no
Little Rogue,-37.810993,144.964066,no
Vacation Coffee CBD,-37.8158579,144.9720281,no
Patricia Coffee Brewers,-37.8146934,144.9582383,no
Market Lane Carlton,-37.8014,144.9672,no
Traveller Coffee,-37.8109,144.9668,no
Core Roasters,-37.7775,144.9722,no
Project Zero,-37.8175,144.964,no
